class: string	slots	slot: string	title: 0..1 x string	is_a: 0..1 x definition	definition_uri: 0..1 x uriorcurie	description: 0..1 (recommended) x string	domain_of: 0..* x class_definition	from_schema: 0..1 x uri	notes: 0..* x string	range: 0..1 x element	required: 0..1 x boolean	requires_component: string
Participant		phenotype_hpo			include:phenotype_hpo	Human Phenotype Ontology code (annotated by data contributor or DCC)	Participant	https://w3id.org/include				
Participant		phenotype_interpretation			include:phenotype_interpretation	Whether phenotype was observed or not	Participant	https://w3id.org/include		enum_phenotype_interpretation		
Participant		phenotype_source_text			include:phenotype_source_text	Phenotype as described by data contributor	Participant	https://w3id.org/include				
Study		program			include:program	Funding source for the study	Study	https://w3id.org/include		enum_program		
Participant		race			include:race	Race of participant	Participant	https://w3id.org/include		enum_race		
Biospecimen		sample_availability			include:sample_availability	Whether or not the sample is potentially available for sharing through the Virtual Biorepository	Biospecimen	https://w3id.org/include		enum_sample_availability		
Biospecimen		sample_id			include:sample_id	Identifier for sample. A sample is a unique biological material; two samples with two different IDs are biologically distinct.	Biospecimen	https://w3id.org/include				
Biospecimen		sample_type			include:sample_type	Type of biological material comprising the sample (e.g. Plasma, Serum, White blood cells, DNA, RNA, etc.)	Biospecimen	https://w3id.org/include				
Participant		sex			include:sex	Sex of participant	Participant	https://w3id.org/include		enum_sex		
DataFile		size			include:size	Size of file	DataFile	https://w3id.org/include				
Study		study_code			include:study_code	Unique identifer for the study, assigned by DCC	Study	https://w3id.org/include		enum_study_code		
Study		study_name			include:study_name	Name of the study, chosen by data contributor	Study	https://w3id.org/include				
Thing		validation_rules	Validation Rules		include:validation_rules	Rules for Validation of Property Constraints and Values	Thing	https://w3id.org/include				
Biospecimen		volume			include:volume	Amount of sample in container	Biospecimen	https://w3id.org/include				
Biospecimen		volume_unit			include:volume_unit	Unit of sample volume	Biospecimen	https://w3id.org/include				
Biospecimen			Biospecimen	Thing	include:Biospecimen	A Biospecimen Collected from A Participant		https://w3id.org/include			False	Study,Participant,DataFile
DataFile			DataFile	Thing	include:DataFile	A DataFile Associated with a Participant or Study or Biospecimen		https://w3id.org/include			False	Study,Participant,Biospecimen
Participant			Participant	Thing	include:Participant	A Participant in a Study		https://w3id.org/include			False	Study,DataFile
Study			Study	Thing	include:Study	A Study		https://w3id.org/include			True	
Thing			Thing		schema:Thing	Highest Level Class		https://w3id.org/include				
